model,formulation,seed,lambda_budget,fixed_cost,n_customers,n_facilities,n_price_levels,n_options,status,objective,runtime,mip_gap,gap_percent,solved_optimal,opened_facilities,served_customers,service_rate,served_demand,total_revenue,total_opening_cost,lazy_cuts_added,node_count,best_bound,num_vars,num_constraints,base_constraints,effective_constraints,use_cuts,force_open
MILP-2,milp2,1,0.5,50,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,200,200,200,,
MILP-1,milp1,1,0.5,50,3,2,5,10,2,-0.0,0.0010323524475097656,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,95,95,95,,
MILP-3,milp3,1,0.5,50,3,2,5,10,2,-0.0,0.00042819976806640625,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,92,92,92,,
BBC-NoCuts,bbc_no_cuts,1,0.5,50,3,2,5,10,2,-0.0,0.0010347366333007812,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,65,65,65,False,False
BBC,bbc,1,0.5,50,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,65,65,65,True,False
BBC-Paper,bbc_paper,1,0.5,50,3,2,5,10,2,-50.0,0.0009894371032714844,0.0,0.0,True,1,0,0.0,0.0,0.0,50.0,0,0.0,-50.0,42,66,66,66,True,True
MILP-2,milp2,1,0.5,100,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,200,200,200,,
MILP-1,milp1,1,0.5,100,3,2,5,10,2,-0.0,0.001033782958984375,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,95,95,95,,
MILP-3,milp3,1,0.5,100,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,92,92,92,,
BBC-NoCuts,bbc_no_cuts,1,0.5,100,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,65,65,65,False,False
BBC,bbc,1,0.5,100,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,65,65,65,True,False
BBC-Paper,bbc_paper,1,0.5,100,3,2,5,10,2,-100.0,0.0009870529174804688,0.0,0.0,True,1,0,0.0,0.0,0.0,100.0,0,0.0,-100.0,42,66,66,66,True,True
MILP-2,milp2,1,0.5,200,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,200,200,200,,
MILP-1,milp1,1,0.5,200,3,2,5,10,2,-0.0,0.0,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,95,95,95,,
MILP-3,milp3,1,0.5,200,3,2,5,10,2,-0.0,0.0010211467742919922,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,92,92,92,,
BBC-NoCuts,bbc_no_cuts,1,0.5,200,3,2,5,10,2,-0.0,0.000995635986328125,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,65,65,65,False,False
BBC,bbc,1,0.5,200,3,2,5,10,2,-0.0,0.001749277114868164,0.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0,0.0,-0.0,42,65,65,65,True,False
BBC-Paper,bbc_paper,1,0.5,200,3,2,5,10,2,-200.0,0.0,0.0,0.0,True,1,0,0.0,0.0,0.0,200.0,0,0.0,-200.0,42,66,66,66,True,True
MILP-2,milp2,1,1.0,50,3,2,5,10,2,762.324901713146,0.00098419189453125,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,50.0,0,0.0,762.324901713146,42,197,197,197,,
MILP-1,milp1,1,1.0,50,3,2,5,10,2,762.324901713146,0.0004525184631347656,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,50.0,0,0.0,762.324901713146,42,92,92,92,,
MILP-3,milp3,1,1.0,50,3,2,5,10,2,762.324901713146,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,50.0,0,0.0,762.324901713146,42,89,89,89,,
BBC-NoCuts,bbc_no_cuts,1,1.0,50,3,2,5,10,2,762.324901713146,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,50.0,0,0.0,762.324901713146,42,62,62,62,False,False
BBC,bbc,1,1.0,50,3,2,5,10,2,762.324901713146,0.0012290477752685547,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,50.0,0,1.0,762.324901713146,42,62,62,62,True,False
BBC-Paper,bbc_paper,1,1.0,50,3,2,5,10,2,762.324901713146,0.0010325908660888672,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,50.0,0,1.0,762.324901713146,42,63,63,63,True,True
MILP-2,milp2,1,1.0,100,3,2,5,10,2,712.324901713146,0.0010266304016113281,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,100.0,0,0.0,712.324901713146,42,197,197,197,,
MILP-1,milp1,1,1.0,100,3,2,5,10,2,712.324901713146,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,100.0,0,0.0,712.324901713146,42,92,92,92,,
MILP-3,milp3,1,1.0,100,3,2,5,10,2,712.324901713146,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,100.0,0,0.0,712.324901713146,42,89,89,89,,
BBC-NoCuts,bbc_no_cuts,1,1.0,100,3,2,5,10,2,712.324901713146,0.001013040542602539,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,100.0,0,0.0,712.324901713146,42,62,62,62,False,False
BBC,bbc,1,1.0,100,3,2,5,10,2,712.324901713146,0.0010225772857666016,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,100.0,0,1.0,712.324901713146,42,62,62,62,True,False
BBC-Paper,bbc_paper,1,1.0,100,3,2,5,10,2,712.324901713146,0.001039266586303711,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,100.0,0,1.0,712.324901713146,42,63,63,63,True,True
MILP-2,milp2,1,1.0,200,3,2,5,10,2,612.324901713146,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,200.0,0,0.0,612.324901713146,42,197,197,197,,
MILP-1,milp1,1,1.0,200,3,2,5,10,2,612.324901713146,0.0008671283721923828,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,200.0,0,0.0,612.324901713146,42,92,92,92,,
MILP-3,milp3,1,1.0,200,3,2,5,10,2,612.324901713146,0.0012805461883544922,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,200.0,0,0.0,612.324901713146,42,89,89,89,,
BBC-NoCuts,bbc_no_cuts,1,1.0,200,3,2,5,10,2,612.324901713146,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,200.0,0,0.0,612.324901713146,42,62,62,62,False,False
BBC,bbc,1,1.0,200,3,2,5,10,2,612.324901713146,0.0010116100311279297,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,200.0,0,1.0,612.324901713146,42,62,62,62,True,False
BBC-Paper,bbc_paper,1,1.0,200,3,2,5,10,2,612.324901713146,0.0006806850433349609,0.0,0.0,True,1,3,1.0,203.0812254282865,812.324901713146,200.0,0,1.0,612.324901713146,42,63,63,63,True,True
MILP-2,milp2,1,1.5,50,3,2,5,10,2,3199.299606852584,0.003397226333618164,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,50.0,0,1.0,3199.299606852584,42,182,182,182,,
MILP-1,milp1,1,1.5,50,3,2,5,10,2,3199.299606852584,0.003004312515258789,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,50.0,0,1.0,3199.299606852584,42,77,77,77,,
MILP-3,milp3,1,1.5,50,3,2,5,10,2,3199.299606852584,0.004040241241455078,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,50.0,0,1.0,3199.299606852584,42,74,74,74,,
BBC-NoCuts,bbc_no_cuts,1,1.5,50,3,2,5,10,2,3199.299606852584,0.0019998550415039062,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,50.0,0,1.0,3199.299606852584,42,47,47,47,False,False
BBC,bbc,1,1.5,50,3,2,5,10,2,3199.299606852584,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,50.0,0,1.0,3199.299606852584,42,47,47,47,True,False
BBC-Paper,bbc_paper,1,1.5,50,3,2,5,10,2,3199.299606852584,0.0029654502868652344,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,50.0,0,1.0,3199.299606852584,42,48,48,48,True,True
MILP-2,milp2,1,1.5,100,3,2,5,10,2,3149.299606852584,0.0036191940307617188,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,100.0,0,1.0,3149.299606852584,42,182,182,182,,
MILP-1,milp1,1,1.5,100,3,2,5,10,2,3149.299606852584,0.0020041465759277344,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,100.0,0,1.0,3149.299606852584,42,77,77,77,,
MILP-3,milp3,1,1.5,100,3,2,5,10,2,3149.299606852584,0.0017292499542236328,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,100.0,0,1.0,3149.299606852584,42,74,74,74,,
BBC-NoCuts,bbc_no_cuts,1,1.5,100,3,2,5,10,2,3149.299606852584,0.0020051002502441406,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,100.0,0,1.0,3149.299606852584,42,47,47,47,False,False
BBC,bbc,1,1.5,100,3,2,5,10,2,3149.299606852584,0.0016858577728271484,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,100.0,0,1.0,3149.299606852584,42,47,47,47,True,False
BBC-Paper,bbc_paper,1,1.5,100,3,2,5,10,2,3149.299606852584,0.0,0.0,0.0,True,1,3,1.0,203.0812254282865,3249.299606852584,100.0,0,1.0,3149.299606852584,42,48,48,48,True,True
