model,n_customers,n_facilities,n_price_levels,n_options,status,objective,runtime,mip_gap,opened_facilities,served_demand,total_revenue,total_opening_cost,lazy_cuts_added
MILP-1,5,3,10,30,2,3370.4891020110717,0.019891977310180664,0.0,2,243.1454774105301,3570.4891020110717,200.0,
MILP-3,5,3,10,30,2,3370.4891020110717,0.017457008361816406,0.0,2,243.1454774105301,3570.4891020110717,200.0,
BBC,5,3,10,30,2,3370.4891020110717,0.007759571075439453,0.0,2,243.1454774105301,3570.4891020110717,200.0,2
MILP-1,10,4,10,40,2,13451.847476430885,0.043390512466430664,0.0,3,687.5923738215442,13751.847476430883,300.0,
MILP-3,10,4,10,40,2,13451.847476430885,0.040053367614746094,0.0,3,687.5923738215442,13751.847476430883,300.0,
BBC,10,4,10,40,2,13451.847476430885,0.007499217987060547,0.0,3,687.5923738215442,13751.847476430883,300.0,0
MILP-1,15,5,10,50,2,8094.804987165172,0.13463211059570312,0.0,4,511.31391679496824,8494.804987165171,400.0,
MILP-3,15,5,10,50,2,8094.804987165172,0.09713268280029297,0.0,4,511.31391679496824,8494.804987165171,400.0,
BBC,15,5,10,50,2,8094.804987165172,0.24576115608215332,0.0,4,511.31391679496824,8494.804987165171,400.0,126
BBC,20,6,10,60,2,17760.732603520217,0.0,0.0,5,1039.2095917158783,18260.732603520217,500.0,2
